x_1(area),x_2(bedrooms),x_3(floor),x_4(age),y(price)
133.9,3,31,29,303.7
171.6,3,21,15,408.59
55.6,1,16,29,119.59
160.3,3,2,31,338.57
72.7,2,23,16,194.31
198.5,4,1,33,423.63
55.4,2,27,31,141.11
83.3,3,32,28,228.49
56.7,1,26,15,150.88
144.7,3,23,27,341.34
139.1,3,30,17,334.02
81.5,2,21,7,242.84
211.2,4,13,13,492.55
89.8,2,7,12,219.5
105,3,1,34,205.56
48.2,1,19,8,157.32
175.5,3,1,18,380
119.3,2,4,16,284.62
126,2,26,31,250.07
153.3,3,10,9,379.34
210.8,3,16,7,482.93
114.9,2,25,28,265.93
93.5,3,20,3,285.65
173.2,3,14,16,397.54
68.3,1,5,10,155.04
121.1,3,19,2,323.11
167.3,4,30,4,445.09
206.3,4,28,7,501.94
156.6,3,10,4,369.23
182.7,4,29,7,457.53
94.7,3,18,32,219.9
118.8,2,28,20,281.97
44.7,1,2,17,115.4
177.4,3,31,33,380.97
204.9,4,28,31,461.91
124.6,3,22,20,308
194.4,4,27,31,417.7
210.1,3,30,5,488.5
98.2,3,33,0,312.84
137.7,3,4,12,329.32
152.1,3,29,3,383.71
138.9,3,29,31,295.39
215.2,4,11,19,478.19
139.4,2,15,7,332.13
61.1,1,32,18,164.3
89.2,3,31,15,254.8
66,1,33,8,208.7
89.7,3,22,32,204.28
40.5,2,20,31,119.85
120.4,3,23,21,294.79
137.8,3,21,12,359.75
83,3,15,26,191.77
174,4,25,24,419.98
182.6,4,32,2,458.42
213.8,4,7,28,436.43
203.9,3,10,26,435.17
214.6,3,31,16,474.07
164.7,4,6,21,389.74
194.7,5,21,31,452.47
46.5,1,16,18,142.81
174.4,3,7,6,408.29
164.9,3,3,20,369.88
92.8,2,28,9,246.43
114.2,2,11,11,261
196.8,4,32,9,472.4
154.8,3,17,0,410.6
123.7,3,11,4,324.56
102.2,3,28,16,273.61
94.4,3,31,6,276.06
142.9,4,19,18,337.61
189.4,5,18,0,497.69
163.4,4,4,31,363.1
202.5,4,23,14,479.02
151.8,4,9,6,403.76
156.3,3,29,2,407
171.8,3,19,20,393.35
71.6,2,24,33,161.54
89.1,2,17,30,210.81
93.1,2,8,29,212.84
65.3,1,26,35,124.51
182.3,3,17,34,357.39
106.3,3,25,23,250.64
82.1,1,21,14,207.1
154.4,3,20,26,326.92
48.2,1,20,31,88.74
82.3,2,25,29,185.7
210.9,5,10,26,476
190.1,5,18,2,499.03
79.1,3,16,23,194.16
163.4,4,23,3,424.25
74.2,1,30,5,220.42
155.5,4,2,3,407.22
83.8,2,14,4,251.11
139.8,2,15,21,313.32
182,3,18,9,443.75
137.2,2,8,1,323.9
104.5,2,21,1,276.97
49.4,2,27,33,110.01
51.4,1,24,32,112.69
121.4,2,3,33,227.18
155.8,3,4,30,334.14
116.7,2,32,28,244.71
54.5,2,10,4,169.84
152.4,4,21,24,378.13
135.5,3,33,27,300.47
166.3,4,14,27,371.4
81.1,2,30,25,197.96
57.1,1,21,16,147.85
67.5,1,5,5,194.44
56.8,1,24,8,173.87
145.6,4,22,7,383.07
197.2,5,4,18,462.17
103.3,2,10,30,204.01
59.5,2,24,7,206.35
143.3,3,2,17,309.18
89.2,2,22,22,197.98
196.6,5,5,9,486.75
214.9,3,14,24,446.33
101.4,3,20,20,268.49
142.2,3,4,9,331.03
151.2,4,6,17,359.51
116.3,3,27,17,287.3
132.2,3,28,7,341.16
162.1,3,20,2,397.32
217.2,3,1,13,460.01
78,2,17,18,194.21
41.4,2,28,11,145.37
135.9,2,33,35,292.02
185.1,3,26,2,451.28
122.8,2,21,27,267.08
167.7,3,19,7,402.24
213.9,4,30,23,465.59
192,4,28,25,435.86
111.2,3,22,14,284.95
70.3,1,33,12,209.15
102.9,2,16,6,258.09
75.5,2,5,11,217.95
153,3,29,20,371.71
152.9,3,29,4,392.5
153.6,3,4,22,335.54
95.9,3,3,3,267.69
91.7,1,33,24,205.32
139.8,2,29,12,328.01
125.6,2,4,28,239.41
201.8,4,6,32,424.9
47,2,29,28,133.07
149.8,3,24,18,349.19
179.4,4,4,21,386.29
57,2,25,18,160.07
193.3,4,22,5,479.52
65.5,1,20,25,133.54
167.6,3,20,35,340.24
182.5,4,6,27,396.21
43.3,1,12,13,121.24
177.9,3,15,8,406.2
93.2,1,33,34,199.42
199.1,3,22,8,465.88
67.8,1,11,28,120.81
105.6,2,29,18,268.77
181.1,4,16,19,435.74
181.2,4,24,28,404.38
90.7,3,33,33,218.13
69.2,1,9,16,148.44
126.5,3,7,33,277.34
91.3,2,18,28,217.73
66.5,1,6,14,173.1
199.2,3,27,3,473.83
107.3,3,6,23,241.42
97.4,1,22,9,228.07
91.6,3,9,30,208.23
40.9,1,2,16,97.78
66.9,2,28,7,223.36
82.8,1,4,15,184.35
182.9,5,5,7,469.94
130,2,33,15,321.27
92.4,1,23,15,222.26
73.7,1,24,4,227.38
137.9,2,25,30,271.79
109.6,3,17,1,307.54
52.2,1,7,21,108.16
103.4,3,12,29,253.23
126.1,2,9,4,319.16
209.8,3,19,12,454.02
75.9,1,21,19,180.17
218,5,17,2,550.72
74.4,2,4,21,168.76
183.9,5,26,28,444.43
109.6,2,32,31,235.9
183.5,4,6,27,382.54
148.4,3,19,20,328.01
99,2,20,28,222.29
116.7,3,23,28,254.38
196.6,4,28,17,465.9
182.5,3,5,25,376.58
184.2,4,2,9,447.91
162.1,3,3,8,365
180.1,4,24,24,428.76
45.8,1,29,23,118.43
177.4,4,9,33,371.13
96.6,2,16,7,240.21
73.5,3,8,16,217.4
166.7,3,19,31,340.27
64.4,1,29,11,197.27
120.1,2,21,22,278.12
139,3,20,10,355.83
206.9,4,24,32,433.29
217.3,4,16,31,440.69
139.7,3,30,35,289.13
199.2,3,20,25,441.55
169.4,4,27,26,402.96
53.3,1,5,28,105.11
133.1,2,12,8,315.15
203.9,3,8,33,392.33
69.6,1,15,22,172.99
133.4,3,6,16,302.79
212.1,4,9,19,473.3
56.8,2,11,9,165.4
152.4,4,22,2,421.23
45.1,1,17,13,143.79
115,2,32,34,236.23
212.2,5,16,25,472.47
53.1,1,11,28,107.74
123.6,3,10,20,303.49
97.5,2,26,8,274.08
132.7,2,21,15,307.45
88.1,2,10,6,223.2
210.2,5,16,10,520.45
208.1,4,13,10,484.92
132.7,3,20,31,273.49
210.1,5,16,13,505.38
48.8,1,32,30,107.73
41.5,1,28,8,161.27
171,3,24,2,423.02
142.7,3,24,35,295.45
109.5,3,18,7,286.73
57.4,1,22,35,127.72
175.9,3,33,25,392.02
48.2,1,22,30,107.06
66.8,2,9,20,184.97
97.3,3,20,21,249.2
131.7,3,20,30,302.43
106.3,2,27,19,267.82
170.6,4,2,30,356.24
158,4,15,3,414.81
70.7,3,10,15,189.4
210.7,3,13,1,489.34
115.4,3,14,26,265.79
150.1,3,4,8,360.45
141,4,31,33,323.57
212.2,5,22,34,459.51
179,4,17,30,380.72
84.4,2,15,19,217.88
166.9,4,32,20,403.29
140.9,4,18,18,336.81
161.8,3,26,22,384.01
184.8,4,3,18,433.83
54.2,1,17,30,102.86
189,4,18,8,444.93
173.4,3,16,3,428.43
135.6,2,4,6,316.96
169.1,3,9,0,432.3
216,4,27,30,465.59
75.9,2,21,18,205.07
203.4,3,15,34,415.91
193.1,3,12,26,417.74
71.6,1,26,31,138.19
174.8,3,3,0,413.78
148.5,3,19,29,340.31
137.8,3,9,32,287.69
74.7,1,22,10,206.38
156.7,4,12,0,422.18
182.3,4,12,25,416.51
132.8,2,26,6,321.29
65.3,1,16,0,189.73
82.4,2,22,19,213.09
143.1,3,24,15,332.02
61.3,1,11,25,138.84
206.2,4,8,18,455.19
79.8,2,31,9,233.02
218,4,27,35,473.86
176.3,4,14,15,424.03
147.2,3,29,33,326.9
54.1,2,8,3,195.02
202.5,4,10,10,466.31
133.7,2,14,31,254.93
131.9,2,30,8,330.3
122.2,2,30,19,296.2
111.3,2,14,4,272.37
102,2,4,4,281.5
125,3,27,11,336.08
177.8,4,27,23,430.78
108.8,3,25,5,315.42
159.1,4,9,22,353.45
218.7,5,9,14,522.11
176.1,3,30,34,367.45
108.3,2,16,29,224.4
89.6,1,3,26,178.62
208.5,3,16,13,447.92
146.9,3,4,15,347.28
112.4,2,14,3,279.96
218.8,4,21,20,479.17
197.7,4,27,19,449.57
140.2,4,12,27,326.57
48.4,1,25,33,95.99
114.9,2,20,24,244.64
136.8,2,15,19,315.31
66,1,4,35,109.86
115,2,25,15,271.18
99.4,1,29,23,204.85
170.4,3,4,17,372.1
148.9,3,5,12,360.59
145.8,4,14,30,319.16
203.3,4,1,13,475.88
213.2,3,31,15,486.6
166.7,3,16,35,333.44
91,3,23,19,235.82
132.3,3,30,6,363.84
170,3,14,23,363.87
48.2,1,10,1,151.95
208.3,5,19,9,499.4
81.4,2,32,35,186.69
163.3,3,32,31,353.93
171.9,3,11,8,412.55
127.9,2,3,4,325.85
160.3,3,27,8,408.87
81.7,2,1,13,205.47
107.2,3,32,1,302.6
139.3,2,2,33,273.74
136.4,3,2,32,291.99
161.3,3,7,6,387.62
83.4,2,23,17,227.74
54.2,1,30,15,174.21
80.7,1,3,5,201.25
107.9,3,4,0,308.72
54.9,1,22,6,185.43
205.4,4,14,30,428.68
206.3,4,3,11,486.98
96.6,2,10,25,228.32
93.9,2,25,34,194.16
176,3,6,32,364.04
102.3,2,28,14,273.93
101.3,3,21,1,305.77
181,5,32,14,455.41
209.4,5,12,24,458.8
151.4,3,5,5,361.17
108.4,2,25,20,252.11
56.5,1,29,23,151.71
58.4,1,12,27,121.48
139.9,3,7,1,344.45
139.8,3,25,0,368.15
109.8,2,16,33,211.94
108.5,2,18,19,245.56
66.3,1,28,17,169.5
127.2,2,24,16,314.95
169.8,3,13,29,342.09
94.8,3,22,24,250.39
99.3,2,28,8,262.36
148.6,4,13,30,327.19
213.6,4,19,31,470.32
180.8,4,25,17,441.43
110.7,2,13,34,209.34
178.2,3,30,13,417.94
92.4,1,27,31,174.73
94.5,2,10,27,215.11
53.3,2,31,25,152.98
206.2,5,3,23,470.22
186.2,3,7,15,417.43
103.9,2,26,21,264.39
117.5,2,7,16,257.89
174.4,4,15,28,381.79
123.4,2,23,1,323.7
93.2,1,8,9,216.9
101.8,2,31,22,244.78
118.9,3,21,4,318.83
185.8,3,2,21,399.17
161.9,3,16,33,323.9
68.8,2,28,29,158.79
112.9,2,12,27,235.66
172.7,3,29,27,374.66
166.9,3,18,4,412.8
183.9,4,24,20,417.31
60.5,2,32,33,164.67
96.4,3,26,7,277.45
192.2,4,20,5,479.16
96.4,2,20,7,248.71
164.8,4,25,26,384.91
143.5,3,12,31,308.58
164.8,4,12,35,339.25
92,2,21,28,211.1
195.8,3,32,8,453.46
109.1,3,27,31,250.74
191.2,5,11,5,484.31
183.3,4,19,2,454.63
136.8,2,30,31,289.83
60.4,1,18,34,127.96
106,2,29,34,215.07
116.5,2,20,2,305.49
102.7,2,29,7,288.58
82.7,2,28,10,239.44
181.3,4,4,22,404.3
147.4,3,21,18,338.94
88.1,1,9,26,191.66
218.6,4,9,15,476.94
98,2,26,31,202.12
153.8,4,27,24,365.91
154.1,3,26,32,340.77
165,3,30,31,350.58
40.4,2,6,29,104.57
165.5,3,26,13,410.95
188.5,5,18,20,461.52
100.8,2,32,21,261.03
177.2,3,7,29,347.35
207.3,4,29,29,436.56
212.4,4,9,19,457.44
207.9,4,6,23,441.43
106.9,2,4,25,231.14
170.7,3,28,5,429.99
40.2,1,5,8,130.13
133.5,3,1,0,352.14
187.1,5,9,30,402.53
109,2,7,20,239.03
93.9,3,9,9,244.88
141.4,4,11,28,318.36
78.3,2,27,28,199.9
55.6,1,9,7,163.1
109.1,3,21,8,290.5
156,3,19,1,410.32
158.5,3,14,33,331.75
74,3,19,3,256.02
182.9,4,32,24,410.08
129.9,2,1,23,285.64
63.8,2,27,23,173.51
71.1,3,5,1,236.93
42.5,1,3,3,156.45
111.6,3,33,26,271.33
112.4,2,18,5,284.88
132,2,10,34,250.56
145.6,4,5,19,353.43
171.4,3,4,15,367.82
118.2,3,4,19,284.14
158.4,3,8,0,403
166.3,3,32,22,381.37
180.9,4,11,23,392.39
180.6,4,8,1,445.34
117.3,2,17,4,301.8
131.9,2,32,10,322.26
85.9,1,8,14,206.89
40.5,1,16,2,148.28
108.9,2,12,2,289.12
204.5,5,15,20,467.04
204.9,4,18,4,499
61.5,2,4,11,165.73
132.8,2,26,4,350.61
195.9,4,21,5,482.33
41.4,1,19,19,124.54
83.7,2,32,12,244.23
138.4,2,10,0,358.69
44.3,2,23,0,200.38
40.3,2,25,19,122.48
135.4,2,27,31,299.72
215.1,4,18,5,496.16
81.7,3,24,29,223.54
55.3,1,33,8,181.28
111,2,28,8,281.12
87,2,26,20,212.85
89,1,13,8,231.08
145.2,3,7,10,347.14
96.5,1,23,13,229.77
123.4,2,6,10,301.99
94.8,1,14,20,193.18
168,3,26,32,340.56
93.8,2,2,25,214.21
140.1,4,16,6,372.41
184.7,4,8,0,445.08
180.6,4,9,12,439.53
107,2,17,4,266.18
51.6,2,29,8,169.79
192.5,4,8,2,486.42
49.1,2,28,25,141.64
108.9,3,12,22,250.95
73.7,2,29,9,205.31
151.5,3,19,31,320.53
139.1,2,6,17,299.57
115.5,2,2,24,252.85
104.6,3,23,32,233.86
88.7,1,21,14,196.71
185.9,4,4,30,394.88
178,3,11,6,410.92
83.4,1,15,24,172.09
191.1,4,12,15,445.91
185.1,4,2,22,424.49
141.4,4,13,31,320.24
71.6,1,6,3,185.45
79.4,3,1,21,216.56
76.3,2,22,11,231.82
192,4,4,1,455.92
166.8,3,8,33,351.02
212.9,4,26,6,506.94
98.1,2,28,31,222.15
71.4,2,15,11,197.94
172.1,3,9,11,405.02
210.8,5,3,11,501.33
205.8,4,7,31,416.9
174.2,3,23,20,380
199.4,3,22,28,401.33
77.7,1,23,16,201.39
169.7,3,25,28,376.23
214.4,5,32,24,493.36
107.6,3,15,10,285.93
183.9,3,19,1,441.49
211.3,3,22,10,493.91
69,1,6,21,154.19
150.5,3,2,27,333.03
69.7,1,11,3,181.31
77,2,27,35,177.19
171.4,3,19,19,376.47
48.9,2,32,9,163.78
40.7,1,19,30,79.65
44.6,1,19,5,151.53
60.8,1,31,31,148.26
87.7,3,12,23,234.74
106.5,3,3,16,260.73
87.4,2,4,9,235.8
160.1,3,23,34,332.68
176.2,3,4,24,383.02
115.4,3,16,30,251.28
111.1,2,33,33,250.6
162,4,10,7,422.37
120.8,2,14,12,274.78
116.2,3,13,9,315.79
86.4,1,6,24,177.55
139.4,3,30,0,389.24
152.2,4,27,7,399.08
66.7,2,7,6,200.72
58.2,1,23,26,125.47
157.9,4,31,2,414.82
112.5,3,3,25,267.92
99.7,2,4,30,217.81
201.5,3,22,19,435.69
191.7,3,15,8,436.28
173.9,3,18,26,378
56.1,1,14,26,131.65
176.7,3,4,32,365.35
51.8,2,33,25,137.52
193.2,3,12,12,448.47
76.1,1,16,2,211.81
205.2,4,18,23,466.81
130.9,2,2,15,285.63
146.9,3,31,35,310.81
69.4,1,6,18,141.11
48.9,2,14,14,159.73
162,3,27,32,329.52
180.5,3,31,8,441.41
148.2,3,15,16,351.46
209.7,4,28,24,481.72
122.6,2,30,19,295.26
188.4,5,7,0,485.13
159.2,3,19,19,370.6
126.7,3,18,20,315.47
87,2,13,9,233.82
83.3,1,26,20,201.25
169.8,4,32,18,404.98
115.3,3,3,12,281.89
168.4,4,31,22,401.78
192.2,4,19,6,468.91
173.4,4,12,21,403.08
80,2,20,26,199.17
99.6,2,19,29,229.32
124.7,2,31,12,308.88
196.1,5,20,26,435.73
193.8,4,13,21,431.77
142.5,3,10,20,337.55
72.5,1,32,21,182.62
71.8,1,1,28,128.29
177,3,11,31,373.47
180.4,4,28,27,406.24
213.8,5,1,2,522.46
171.5,3,21,33,345.76
161.8,4,16,14,402.21
102,2,7,24,222.52
95.1,1,3,19,215.92
122.1,3,28,8,322.92
202.2,4,13,10,490.49
205.3,5,2,14,470.42
217.3,4,2,32,432.42
106,2,25,16,271.36
152.2,4,4,6,391.49
43.6,2,8,26,111.68
62.2,1,31,9,174.36
163.4,3,20,26,362.74
159.2,3,9,26,352.46
58.9,2,8,18,144.92
59.1,1,13,16,161.51
215.2,4,27,18,479.13
138.7,2,31,21,304.7
42.3,1,8,31,69.71
56.2,2,5,6,192.53
156,3,19,16,363.51
58,1,3,18,130.17
161.8,3,8,6,401.08
200.3,3,9,10,443.57
201,4,6,23,449.34
72.9,3,26,29,184.01
109.4,3,27,10,286.59
165.3,3,11,6,394.12
146.3,4,29,11,388.35
180.2,3,9,30,384.69
60.3,1,29,2,179.62
157.9,3,15,21,354.71
163.9,4,7,27,369.04
84.7,2,25,9,250.87
140.5,4,4,0,383.26
68.2,1,32,10,179.06
128.5,2,22,17,281.31
80.1,3,26,15,220.82
120,3,6,31,254.69
61.4,1,2,6,163.44
46.4,2,1,5,169.82
213.4,4,33,35,444.97
160.9,3,24,3,417.62
192,4,31,23,449.57
60.5,2,15,0,201.19
189.4,4,24,6,452.57
69.5,1,27,6,192.65
75.3,1,26,13,194.19
180.7,4,7,26,379.33
154,4,8,28,342.47
146.1,4,9,31,306.14
172.5,4,28,30,404.18
180.6,4,12,8,424.81
158.4,4,21,32,367.25
115.4,2,18,25,269.81
214.7,5,9,8,512.92
166,4,33,19,417.75
138.6,3,14,12,327.83
168.6,4,23,8,443.61
157,3,33,34,345.2
98,1,23,35,185.09
142.7,4,27,34,317.95
192.5,3,7,1,449.61
49.6,1,13,17,139.29
69,1,17,9,198.22
164.3,3,14,34,319.3
186.5,3,15,35,370.7
132,3,4,24,287.95
212.2,4,4,0,515.93
76.6,3,15,23,212.46
138.4,2,13,18,304.08
217,3,12,11,488.46
61.5,1,28,17,165.74
63.4,2,17,0,207.62
167.7,3,3,9,403.89
147.4,4,20,31,345.56
139,2,21,33,270.32
73.1,1,33,10,200.95
136.7,2,23,14,333.46
159.4,3,24,18,360.38
175.5,4,31,35,397.35
216.6,3,8,22,449.92
202.8,4,3,20,441.17
183.3,3,25,16,420.19
90.9,2,33,32,203.66
47.9,2,13,20,139.12
210.7,4,1,4,482.85
153.3,3,28,6,378.54
189.2,5,5,9,447.62
169,3,6,4,388.15
183,3,15,16,406.87
121.2,3,28,20,283.17
161.2,4,1,4,413.37
145.4,4,5,22,354.73
59.1,2,20,5,189.51
206.8,5,26,1,529.9
136,2,26,34,269.42
154.1,3,24,0,402.51
139.9,2,3,0,342.84
110.9,2,20,13,281.96
202.6,4,14,26,455.28
193.3,4,11,11,444.49
190.3,4,8,11,452.9
142.1,3,30,35,291.41
160.9,3,7,12,380.94
127.7,3,23,8,340.83
82.2,2,5,12,205
121.1,3,10,23,290.46
212.6,4,1,20,452.34
79.9,3,18,23,198.46
171.9,3,30,28,370.73
95,1,12,5,249.9
194.6,4,13,16,455.89
152.8,4,5,1,411.43
153.7,4,26,13,405.49
139.3,3,10,23,308.27
200.5,4,9,29,426.34
56.3,1,33,0,201.6
192.6,4,33,8,475.54
72.2,2,31,22,175.82
177.1,3,5,16,386.88
47.7,1,24,24,119.17
121.8,2,3,20,249.36
214.3,4,17,34,449.07
107.8,3,24,4,309.04
107.7,2,26,22,263.68
102.1,3,1,32,231.93
119.2,2,5,32,239.33
78.1,2,11,23,188.45
187.1,4,27,21,442.11
126.7,3,31,13,331.53
156.5,3,2,15,337.85
143.2,3,9,32,281.97
143,3,11,16,350.21
133,3,2,18,321.5
79,3,31,10,238.9
113.9,2,12,32,221.74
170.4,3,30,4,416.19
109.4,2,2,12,258.94
203.7,5,10,6,489.85
202.3,3,33,7,464.49
158.7,4,1,27,349.85
106.7,2,28,14,285.44
126.8,3,23,6,334.76
85.8,2,6,18,209.18
137.9,3,13,0,370.15
182.1,3,1,24,385.34
163.8,3,27,23,355.68
116.7,3,17,34,250.11
105.8,3,26,13,283.52
181.1,5,12,23,427.11
127.1,3,23,25,304.67
193.9,3,15,28,413.61
210.9,3,14,32,420.84
100.9,2,11,24,240.34
41,1,10,30,99.13
118.4,2,17,14,277.27
149.6,4,25,25,360.38
133.8,2,12,31,266.04
76.3,2,13,2,239.56
131.9,2,11,2,322.77
157.9,3,6,17,365.69
103.6,3,26,12,285.52
172.6,3,6,35,334.72
189.4,4,23,17,434.07
213.4,5,26,0,536.32
113.3,2,5,32,216.13
210.5,4,17,28,469.68
141.4,3,22,29,318.86
201.4,3,31,7,467.2
108.9,2,15,20,246.87
103.6,2,17,15,245.42
111.8,3,5,35,247.77
125.8,3,14,17,292.82
174.3,3,32,12,407.4
83.6,2,14,14,206.18
84.9,2,10,6,219.94
54.1,2,32,0,218.49
137.5,2,31,23,312.04
128.6,3,32,11,354.32
204.9,4,26,14,489.83
63.1,2,28,30,171.81
45.9,1,26,11,145.68
61.7,2,30,20,183.87
42.1,1,25,6,144.3
150.3,3,12,35,298.6
88.5,2,24,11,240.26
77.9,2,24,25,182.49
72.4,2,15,6,223.07
184.7,5,25,12,453.31
212.6,4,31,0,517.84
129.9,3,32,19,312.66
194.5,3,26,6,468.56
50.8,1,31,6,169.23
100.2,3,24,35,228.63
185.8,4,2,26,387.2
196.1,4,12,18,439.76
161.2,3,29,5,402.08
91.6,2,11,21,210.67
150.2,3,5,5,355.19
81.1,2,19,17,213.57
111.2,3,24,33,267.52
114.5,2,2,8,284.3
159.2,4,6,13,372.77
58.5,1,31,35,105.04
178.8,4,6,6,426.89
67.9,2,25,19,176.68
172.8,3,9,8,405.6
70.7,1,23,20,182.77
124.1,3,29,8,349.88
165.6,3,30,27,367.52
155.1,3,23,30,337.01
184.8,5,20,23,434.88
68,1,1,33,129.95
192.6,4,19,30,419.14
163.8,3,31,19,364.17
117.5,3,15,0,329.24
73.9,3,26,15,212.7
172.7,3,25,14,395.53
116,2,18,18,274.94
135.7,3,27,12,356.19
72.8,2,8,29,163.88
89,3,13,20,213.3
48.9,2,2,11,168.42
90.8,2,29,0,263.02
67.1,1,14,21,150.91
181.4,5,24,29,429.01
45.7,1,10,3,143.25
110.6,3,12,12,300.53
85,3,1,7,259.49
168.6,3,29,15,406.23
46,1,7,33,89.78
77.5,3,20,20,203.21
171.1,4,8,16,400.5
93.8,2,4,13,246.48
82.5,3,21,0,257.32
89.7,1,26,15,199.58
47.6,2,31,9,172.05
56.1,1,32,5,190.27
100.9,2,4,22,227.62
166.2,3,9,31,332.54
216.7,4,29,12,491.63
108,2,17,2,289.07
118.8,3,32,12,319.44
137.9,3,30,17,352.06
147.8,4,11,4,389.16
120.9,3,24,29,259.05
154.8,3,12,1,394.35
105.5,2,21,4,289.6
137,3,13,33,295
177.8,3,19,20,391.99
98,1,5,2,256.07
63.4,1,13,6,178.79
57.8,2,25,31,142.77
166.2,3,4,23,345.71
169.2,3,14,31,366.98
189.8,5,4,23,436.33
208.9,5,24,3,540.27
87.8,1,5,19,173.05
78.9,1,7,14,185.96
74.1,2,12,35,160.95
114.7,2,23,29,254.35
116.9,2,11,11,282.82
130.8,2,29,22,310.73
139,3,24,26,325.71
117.5,3,16,34,243.2
177.8,4,17,23,421.66
120.5,3,1,2,334.69
147.2,4,9,19,334.6
217.2,4,21,1,537.33
209.8,4,33,35,451.58
142.9,3,3,29,294.62
64.9,1,16,14,158.04
94.1,3,14,4,283.83
182.7,4,32,6,466.69
94.1,3,6,3,286.77
100.2,3,27,7,303.87
80.8,1,25,3,219.81
47.4,2,10,20,135.41
79.7,1,26,28,179.76
143.5,3,15,27,307.33
111,2,22,5,291.53
174.2,4,26,16,406.22
130.3,2,9,30,263.87
127.8,2,16,15,280.42
179.8,3,6,7,423.22
116.2,3,13,20,273.96
158,3,11,22,352.98
218.2,5,10,28,462.78
187.3,4,24,9,467.82
193.5,3,4,15,438.66
206.8,4,1,21,455.82
60,1,31,1,192.55
173.2,3,14,34,353
86.6,3,10,1,261.24
203.1,3,17,10,445.34
76.1,2,4,29,167.95
41.5,1,18,23,119.61
43.4,2,25,14,170.59
131.5,2,21,31,284.5
135.7,2,13,32,287.06
140.9,4,2,2,363.73
135.3,3,32,25,326.94
43.3,2,23,22,138.45
